뉴스 식별자,일자,언론사,기고자,제목,본문,URL
01101001.20160501195300182,20160501,한겨레,김원철,더 세진 원내사령탑 3당체제 ‘협상의 정치’ 좌우,"지난 27일 국민의당을 시작으로 3일 새누리당, 4일 더불어민주당이 원내대표를 뽑는다. 이번에 선출될 각 당 원내대표는 새롭게 형성된 3당 구도의 20대 국회에서 첫 1년간 협상의 정치를 개척할 중책을 맡게 된다. 최근 국민의당이 ‘헤비급’ 박지원 의원을 원내대표로 선출하면서 더민주와 새누리당 원내대표 선거 구도까지 흔들리고 있다. 정치권의 뜨거운 이슈..",http://www.hani.co.kr/arti/politics/polibar/742041.html
01100201.20160502080144001,20160502,국민일보,김영석 기자,"“문재인, 칩거 불구 16주 연속 1위” 안철수 20% 육박","리얼미터 4월 4주차 주간집계(무선 60%, 유선 40%, 전국 2533명)에서  여야 차기 대선주자 지지도의 경우 지도부 개편 등 당내 현안에 거리를 두고 낙향한 문재인 더불어민주당 전 대표가 지난 2주 동안의 상승세를 이어가지 못하고 지난주 주간집계 대비 1.8%p 내린 25.2%를 기록했으나 안철수 국민의당 상임대표에 오차범위(±1.9%p) 밖에서..",http://news.kmib.co.kr/article/view.asp?arcid=0010580810&code=61111111&cp=kd
01100201.20160503160309001,20160503,국민일보,창원=이영재 기자,경남 서부산업단지 업무 협약 개최,"경남도는 3일 도청 도정회의실에서 서부 대개발을 앞당길 경남 서부산업단지 조성사업의 특수목적법인(SPC) 설립을 위한 업무협약을 체결했다. 
 
 이날 협약식은 홍준표 경남지사, 하창환 합천군수, 조진래 경남개발공사 사장, 손호영 부산강서산업단지㈜대표, 손교덕 BNK경남은행장 등 50여명이 참석했다. 
 
 협약에 참여한 부산강서산업단지㈜는 산업단지 개..",http://news.kmib.co.kr/article/view.asp?arcid=0010585702&code=61121111&cp=kd
01100201.20160504183955002,20160504,국민일보,창원=이영재 기자,"경남, 서부산업단지 조성사업 업무협약 체결","경남도는 3일 도청 도정회의실에서 서부 대개발을 앞당길 경남 서부산업단지 조성사업의 특수목적법인(SPC) 설립을 위한 업무협약을 체결했다. 
 
 이날 협약식은 홍준표 경남지사, 하창환 합천군수, 조진래 경남개발공사 사장, 손호영 부산강서산업단지㈜대표, 손교덕 BNK경남은행장 등 50여명이 참석했다. 
 
 협약에 참여한 부산강서산업단지㈜는 산업단지 개..",http://news.kmib.co.kr/article/view.asp?arcid=0923519110&code=11131422
01100201.20160505113344001,20160505,국민일보,김영석 기자,"“문재인, 호남서 처음 안철수 제치다” 전국 지지율도 반등 1위","여론조사 전문기관 리얼미터(대표 이택수)가 2016년 5월 2일부터 4일까지 3일간 무선전화(61%)와 유선전화(39%)로 전국 1,517명을 대상으로 실시한 주중집계에서 여야 차기 대선주자 지지도에서는 문재인 더불어민주당 전 대표가 당 대표 선출 전당대회 일정 확정으로 당이 화합 국면으로 접어들면서 지난주 주간집계 대비 1.5%p 반등한 26.7%로 ..",http://news.kmib.co.kr/article/view.asp?arcid=0010591237&code=61111111&cp=kd
01100201.20160505143844001,20160505,국민일보,김영석 기자,"“오세훈, 총선 패배 불구 지지율 상승 왜?” 여권 후보 몰락 어부지리?","오세훈 전 서울시장이 총선 패배에도 불구하고 지지율이 상승하는 기현상을 보이고 있다. 
 여론조사전문기관인 리얼미터가 지난 2일부터 4일까지 3일간 전국 19세 이상 유권자 1517명을 대상으로 여야 차기 대선주자 지지도를 조사한 결과 
 
오 전 시장은 다른 여권 대선주자의 약세가 이어지는 가운데 여권 성향의 지지층이 결집하며 2.3%p 오른 12.7..",http://news.kmib.co.kr/article/view.asp?arcid=0010591708&code=61111111&cp=kd
01100101.20160509071135984,20160509,경향신문,김정훈 기자 jhkim@kyunghyang.com,홍준표 주민소환 서명부 9일부터 2개월간 검수,"경남도선거관리위원회는 9일 “홍준표 경남지사 주민소환투표 청구서명에 대한 유 무효 심사에 들어간다”고 밝혔다.

선관위는 애초 지난 6일부터 검수작업을 시작하려고 했지만 임시공휴일로 지정되면서 연기했다.

선관위의 심사는 도내 22개 구 군 선관위에서 일제히 진행돼 2개월 정도면 마무리할 수 있을 것으로 내다봤다.‘홍준표주민소환운동본부’는 9일 오전 경..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605090705001&code=620116
01100201.20160509093145001,20160509,국민일보,김영석 기자,"“문재인, 호남서 안철수 물리치고 1위 등극” 오세훈, 50대 이상서 1위","리얼미터 5월 1주차 주간집계(무선 61%, 유선 39% 전국 2,028명)에서 여야 차기 대선주자 지지도의 경우 더민주의 전당대회 일정 확정, 당내 갈등이 수습 국면으로 접어들면서 문재인 전 대표가 1.9%p 반등한 27.1%로, 안철수 국민의당 상임대표를 10%p 가량 앞서며 1위 자리를 지킨 것으로 조사됐다. 
 
문 전 대표의 지지율은 일간으로 ..",http://news.kmib.co.kr/article/view.asp?arcid=0010597774&code=61111111&cp=kd
01101001.20160509215532076,20160509,한겨레,최상원,‘홍준표 소환투표’ 실시 절차 재개,"홍준표 경남지사에 대한 주민소환투표일로 오는 9월 첫째 수요일인 9월7일이 유력하게 검토되고 있다.

 경남도선거관리위원회는 9일 홍 지사에 대한 주민소환투표 청구서명용지 검사 작업을 시작하며 “모든 일정이 순조롭게 진행된다면 서명용지 검사 작업을 2개월 정도면 마칠 수 있을 것으로 예상한다. 검사 결과 주민소환투표 실시 요건을 충족한다면, 여름휴가철이..",http://www.hani.co.kr/arti/society/area/743122.html
01100201.20160510134744001,20160510,국민일보,김영석 기자,"“안희정, 시도지사 평가 8개월만에 공동 1위” 서병수 부산시장 꼴찌","리얼미터 2016년 4월 월간 정례 광역자치단체장 평가 조사에서 안희정 충남지사와 김관용 경북지사가 공동 1위를 기록했다.  
 안희정 지사에 대한 긍정평가(‘잘한다’)는 3월 대비 3.6%p 오른 68.0%로 3위에서 2계단 상승하며 8개월만에 1위를 기록했다. 김관용 지사는 3월 대비 3.4%p 내린 68.0%로 70%대를 이탈했으나 1위를 이어갔다..",http://news.kmib.co.kr/article/view.asp?arcid=0010602122&code=61111111&cp=kd
